mass_feature,FinalBMIS,Orig_RSD,FinalRSD,replicate_name,runDate,type,samp_id,replicate,area,date,QC_area,fraction,adjusted_area
Adenine,"Cytosine, 13C2, 15N3",0.19646114649382845,0.0780892656105861,240108_Smp_M4_T2C,240108,Smp,M4,T2C,258325744,240108,258325744,HILICPos,408547274.62293625
Adenine,"Cytosine, 13C2, 15N3",0.19646114649382845,0.0780892656105861,240108_Smp_WT_T1A,240108,Smp,WT,T1A,185355584,240108,185355584,HILICPos,197677645.94922248
Adenine,"Cytosine, 13C2, 15N3",0.19646114649382845,0.0780892656105861,240108_Smp_WT_T1B,240108,Smp,WT,T1B,167427024,240108,167427024,HILICPos,328990668.20609856
Adenine,"Cytosine, 13C2, 15N3",0.19646114649382845,0.0780892656105861,240108_Smp_WT_T1C,240108,Smp,WT,T1C,377158144,240108,377158144,HILICPos,371159352.91910976
Adenine,"Cytosine, 13C2, 15N3",0.19646114649382845,0.0780892656105861,240108_Smp_WT_T2A,240108,Smp,WT,T2A,166244128,240108,166244128,HILICPos,194195757.6239356
Adenine,"Cytosine, 13C2, 15N3",0.19646114649382845,0.0780892656105861,240108_Smp_WT_T2B,240108,Smp,WT,T2B,96172008,240108,96172008,HILICPos,97730624.8948194
Adenine,"Cytosine, 13C2, 15N3",0.19646114649382845,0.0780892656105861,240108_Smp_WT_T2C,240108,Smp,WT,T2C,81819384,240108,81819384,HILICPos,96127969.24194139
Adenosine,"Cytosine, 13C2, 15N3",0.2425061755585577,0.11261931013913841,240304_Poo_EpicFate_Full1,240304,Poo,EpicFate,Full1,1064313408,240304,1064313408,HILICPos,1085417611.7131937
Adenosine,"Cytosine, 13C2, 15N3",0.2425061755585577,0.11261931013913841,240304_Poo_EpicFate_Full2,240304,Poo,EpicFate,Full2,1099501312,240304,1099501312,HILICPos,1030937738.0416731
Adenosine,"Cytosine, 13C2, 15N3",0.2425061755585577,0.11261931013913841,240304_Poo_EpicFate_Full3,240304,Poo,EpicFate,Full3,1308316288,240304,1308316288,HILICPos,1167310069.3880205
Adenosine,"Cytosine, 13C2, 15N3",0.2425061755585577,0.11261931013913841,240304_Poo_EpicFate_Half1,240304,Poo,EpicFate,Half1,583011456,240304,583011456,HILICPos,1161134182.6530654
Adenosine,"Cytosine, 13C2, 15N3",0.2425061755585577,0.11261931013913841,240304_Poo_EpicFate_Half2,240304,Poo,EpicFate,Half2,541226176,240304,541226176,HILICPos,951686442.431547
Adenosine,"Cytosine, 13C2, 15N3",0.2425061755585577,0.11261931013913841,240304_Poo_EpicFate_Half3,240304,Poo,EpicFate,Half3,659859008,240304,659859008,HILICPos,1071614991.4455788
Adenosine,"Cytosine, 13C2, 15N3",0.2425061755585577,0.11261931013913841,240304_Smp_ASW_A,240304,Smp,ASW,A,704035840,240304,704035840,HILICPos,641596192.3855362
