Compound,Cruise,SampID,replicate,Local_Date,Local_Time,Lat,Long,Part.Conc.nM,Diss.Conc.nM,Total_nM,Perc_Diss
Homarine,KM1906,MU21,C,4/26/19,06:00:00,35.55,-158,0.24943197479808055,NA,NA,NA
Homarine,KM1906,MU22,A,4/26/19,12:00:00,34.39,-158,0.06891963657342981,NA,NA,NA
Homarine,KM1906,MU22,B,4/26/19,12:00:00,34.39,-158,0.10826573150375586,NA,NA,NA
Homarine,KM1906,MU22,C,4/26/19,12:00:00,34.39,-158,0.08882226009265545,NA,NA,NA
Homarine,KM1906,MU23,A,4/26/19,18:30:00,33.34,-158,0.02148645307922218,NA,NA,NA
Homarine,KM1906,MU23,B,4/26/19,18:30:00,33.34,-158,0.02348200664599711,NA,NA,NA
Homarine,KM1906,MU23,C,4/26/19,18:30:00,33.34,-158,0.02064031399757477,NA,NA,NA
Homarine,KM1906,MU24,A,4/27/19,06:00:00,31.24,-158,0.01049040142413044,NA,NA,NA
Homarine,KM1906,MU24,B,4/27/19,06:00:00,31.24,-158,0.01436884139759082,NA,NA,NA
Homarine,KM1906,MU24,C,4/27/19,06:00:00,31.24,-158,0.01216506767060988,NA,NA,NA
Homarine,TN397,S1,A,20/11/2021,06:22:00,28.32288,-124.13627,0.01619734689055058,0.2012841180524551,0.2174814649430057,0.9255230927619724
Homarine,TN397,S1,B,20/11/2021,06:22:00,28.32288,-124.13627,0.00677943693443079,0.20891016929365444,0.21568960622808522,0.9685685506455896
Homarine,TN397,S1,C,20/11/2021,06:22:00,28.32288,-124.13627,0.0157025895738638,0.20967543347592152,0.22537802304978533,0.9303277694897734
Homarine,TN397,S2,A,21/11/2021,06:45:00,27.0673,-126.6739,0.02392592079792966,0.04001684218103928,0.06394276297896893,0.6258228502606463
Homarine,TN397,S2,B,21/11/2021,06:45:00,27.0673,-126.6739,0.01883438944315143,0.05769699408746764,0.07653138353061907,0.7538997915068911
Homarine,TN397,S2,C,21/11/2021,06:45:00,27.0673,-126.6739,0.02490944913392773,0.07125254710671174,0.09616199624063947,0.7409636851590168
Homarine,TN397,S3,A,23/11/2021,06:10:00,21,-135,0.0148045772396423,0.21924980081000583,0.23405437804964813,0.9367472748725858
Homarine,TN397,S3,B,23/11/2021,06:10:00,21,-135,0.01295147554953798,1.6272763317799344,1.6402278073294723,0.9921038556402572
Homarine,TN397,S3,C,23/11/2021,06:10:00,21,-135,0.024755756180945,1.6022612481205538,1.6270170043014989,0.9847845743987335
