mass_feature,sample_fraction,experiment_id,timepoint,med_pvalue_h,med_fc_h,med_qvalue_h,core_metabolite
L-Asparagine,Particulate,G52,12,0.21388525103296632,0.7234433324622482,0.557096467806796,non-core
L-Asparagine,Particulate,G52,24,0.12109066146618698,0.7391549682568167,0.5023020031189979,non-core
L-Asparagine,Particulate,G52,48,0.395647913610446,1.0537049474892217,0.5937078921732292,non-core
L-Asparagine,Particulate,G52,96,0.08373756116187712,0.8957256444189547,0.4589761056860371,non-core
L-Glutamic acid,Particulate,G51,0,0.17411018097295233,1.4332653533088715,0.5419489679611648,core
L-Glutamic acid,Particulate,G51,6,0.4672567101531363,1.1423574456491554,0.6305150787608585,core
L-Glutamic acid,Particulate,G51,12,0.6410580694521711,0.9835755051311628,0.710876275036071,core
L-Glutamic acid,Particulate,G51,24,0.47952016783199203,0.9139410640754476,0.6343258913053124,core
L-Glutamic acid,Particulate,G51,48,0.28053553843583284,0.6559412210117288,0.5753730385943501,core
L-Glutamic acid,Particulate,G51,96,0.14763610241382336,0.9299316717193193,0.528259964085727,core
L-Glutamic acid,Particulate,G52,0,0.673131236524098,0.9191749487000702,0.7247664512664689,core
L-Glutamic acid,Particulate,G52,6,0.3228338243232791,0.8319957842908875,0.5831836826485042,core
L-Glutamic acid,Particulate,G52,12,0.32723032413240216,0.8596945812333239,0.584892796819012,core
L-Glutamic acid,Particulate,G52,24,0.3142938048437285,0.8782056955164337,0.5831836826485042,core
L-Glutamic acid,Particulate,G52,48,0.5843922589812599,1.0075184842494904,0.6849116700906751,core
L-Glutamic acid,Particulate,G52,96,0.17932520246863093,1.14478987081654,0.5428222344996396,core
L-Lysine,Particulate,G51,0,0.22272942446918637,0.6589069880106302,0.5669476259215653,core
L-Lysine,Particulate,G51,6,0.46215689488329154,1.0579345901329655,0.6261480511322014,core
L-Lysine,Particulate,G51,12,0.6999501518071173,1.106322497420018,0.7377087579078603,core
L-Lysine,Particulate,G51,24,0.5557766813273031,0.9774788813669159,0.6645585940426114,core
L-Lysine,Particulate,G51,48,0.5351273861086592,1.2790270121079654,0.6627048075234486,core
L-Lysine,Particulate,G51,96,0.08380131956072887,2.125025361457232,0.4589761056860371,core
L-Lysine,Particulate,G52,0,0.593632763886218,1.092172337680529,0.6901751164905511,core
L-Lysine,Particulate,G52,6,0.13743206565680238,1.4646435092255956,0.5130797117853956,core
L-Lysine,Particulate,G52,12,0.05743177797304702,1.7084112375793703,0.4089353797583421,core
L-Lysine,Particulate,G52,24,0.27151504957090683,1.2426770891623087,0.5697150832159729,core
L-Lysine,Particulate,G52,48,0.23950235109476847,1.673909397251101,0.5697150832159729,core
L-Lysine,Particulate,G52,96,0.035372690199598246,2.6620775560816536,0.4089353797583421,core
L-Phenylalanine,Particulate,G51,0,0.19224661438688814,0.9137561697942834,0.5489216937495365,non-core
L-Phenylalanine,Particulate,G51,6,0.4596425400958165,0.7738298553332995,0.6261480511322014,non-core
L-Phenylalanine,Particulate,G51,12,0.6326737454963912,0.9056907855583227,0.7085945949559582,non-core
L-Phenylalanine,Particulate,G51,24,0.4152421269663954,0.8738633116157949,0.5937078921732292,non-core
L-Phenylalanine,Particulate,G51,48,0.4145063967321911,1.006510362579408,0.5937078921732292,non-core
L-Phenylalanine,Particulate,G51,96,0.1741978825589458,3.440837248185789,0.5419489679611648,non-core
L-Phenylalanine,Particulate,G52,0,0.6257960748215516,1.1086978824062443,0.7055955742954407,non-core
L-Phenylalanine,Particulate,G52,6,0.39928619737343685,0.8627001249131218,0.5937078921732292,non-core
L-Phenylalanine,Particulate,G52,12,0.2602075582177559,0.6843462126886418,0.5697150832159729,non-core
L-Phenylalanine,Particulate,G52,24,0.48230562004108624,1.1140852957635974,0.635508581701196,non-core
L-Phenylalanine,Particulate,G52,48,0.36010606864025035,1.5365129300668434,0.5908950484882509,non-core
L-Phenylalanine,Particulate,G52,96,0.042903220098511066,2.5238715080893215,0.4089353797583421,non-core
L-Proline,Particulate,G51,0,0.20510154945684728,0.6434087633776047,0.5489216937495365,core
L-Proline,Particulate,G51,6,0.3605163242264626,0.8370822668497915,0.5908950484882509,core
L-Proline,Particulate,G51,12,0.6714296883445767,1.0459503200544211,0.7247664512664689,core
L-Proline,Particulate,G51,24,0.3488212227951628,0.8222177119159235,0.5867487769976939,core
L-Proline,Particulate,G51,48,0.6485510558293031,1.1666760062534722,0.7121344926753133,core
L-Proline,Particulate,G51,96,0.16972124747837808,0.6858084354322347,0.5419489679611648,core
L-Proline,Particulate,G52,0,0.551722466524831,0.9514329160371797,0.6640805745483723,core
L-Proline,Particulate,G52,6,0.2543961416904714,1.1495085455218126,0.5697150832159729,core
L-Proline,Particulate,G52,12,0.13953114217795143,1.4704561625153487,0.5136193093794754,core
L-Proline,Particulate,G52,24,0.41220832649746886,1.1997737130804698,0.5937078921732292,core
L-Proline,Particulate,G52,48,0.2651056271722244,1.5224080173702028,0.5697150832159729,core
L-Proline,Particulate,G52,96,0.09573667789993653,1.3487620964452967,0.4766204831386498,core
L-Serine,Particulate,G51,0,0.1851256446026498,0.299953959316348,0.5489216937495365,core
L-Serine,Particulate,G51,6,0.6751544620428713,0.8975447562204824,0.7247664512664689,core
L-Serine,Particulate,G51,12,0.7025797694360574,0.9176843536643211,0.7377087579078603,core
L-Serine,Particulate,G51,24,0.4449326206113031,0.6910916877379771,0.6177576881214787,core
L-Serine,Particulate,G51,48,0.5883618892699443,1.0084551286448977,0.6864222041482684,core
L-Serine,Particulate,G51,96,0.20194622706128718,0.3124451818172427,0.5489216937495365,core
L-Serine,Particulate,G52,0,0.40465220578724015,0.6959621168841612,0.5937078921732292,core
L-Serine,Particulate,G52,6,0.4194779060697437,1.0866118166035543,0.597222781523025,core
L-Serine,Particulate,G52,12,0.4065433443286285,0.686485259016576,0.5937078921732292,core
L-Serine,Particulate,G52,24,0.27518983425295973,0.5859267541017742,0.5707641006728054,core
L-Serine,Particulate,G52,48,0.5751487790094616,0.8043662948367816,0.6828621545836717,core
L-Serine,Particulate,G52,96,0.19775880838006016,0.6908432749191475,0.5489216937495365,core
L-Tryptophan,Particulate,G51,0,0.23893598781480943,1.4844948771453659,0.5697150832159729,non-core
L-Tryptophan,Particulate,G51,6,0.4960543306018064,1.2460051047568377,0.6435299424023435,non-core
L-Tryptophan,Particulate,G51,12,0.8001902936406029,1.0878570351031949,0.8049818522851574,non-core
L-Tryptophan,Particulate,G51,24,0.48995958174696697,0.8975315436635893,0.6405697255524548,non-core
L-Tryptophan,Particulate,G51,48,0.1574525932975601,1.6992757417382853,0.5419489679611648,non-core
L-Tryptophan,Particulate,G51,96,0.09565696961268792,4.222042573819115,0.4766204831386498,non-core
L-Tryptophan,Particulate,G52,0,0.31856431861776674,1.5445582606090276,0.5831836826485042,non-core
L-Tryptophan,Particulate,G52,6,0.41519505151950664,1.2150836388969084,0.5937078921732292,non-core
L-Tryptophan,Particulate,G52,12,0.5290440258185576,1.0109114484621085,0.6627048075234486,non-core
L-Tryptophan,Particulate,G52,24,0.5534004787903103,1.1789640219201942,0.6640805745483723,non-core
L-Tryptophan,Particulate,G52,48,0.3987030048848624,1.4330956020122843,0.5937078921732292,non-core
L-Tryptophan,Particulate,G52,96,0.07250285247427553,1.9835037855408428,0.4308728987276808,non-core
L-Tyrosine,Particulate,G51,0,0.21324445252501478,0.785596401200372,0.557096467806796,core
L-Tyrosine,Particulate,G51,6,0.22833762717786338,0.7070921592676891,0.5697150832159729,core
L-Tyrosine,Particulate,G51,12,0.378778613693071,0.7491881350313823,0.5937078921732292,core
L-Tyrosine,Particulate,G51,24,0.20227282117945236,0.6301983427775868,0.5489216937495365,core
L-Tyrosine,Particulate,G51,48,0.5462436403401472,0.8018491606689292,0.6627048075234486,core
L-Tyrosine,Particulate,G51,96,0.1644584986216516,1.4492954797725415,0.5419489679611648,core
L-Tyrosine,Particulate,G52,0,0.6066027787761159,0.9949781489204473,0.6958435731918506,core
L-Tyrosine,Particulate,G52,6,0.17386746765514227,0.6656333210319787,0.5419489679611648,core
L-Tyrosine,Particulate,G52,12,0.11309541765966019,0.6699024267418281,0.49350727706033537,core
L-Tyrosine,Particulate,G52,24,0.05766474823218195,0.6166280087041165,0.4089353797583421,core
L-Tyrosine,Particulate,G52,48,0.5850287182024517,0.8823755969579878,0.6849116700906751,core
L-Tyrosine,Particulate,G52,96,0.15955434973894428,1.5887837192709693,0.5419489679611648,core
N-Methyl-L-glutamic acid,Particulate,G51,0,0.6037874779618786,1.2385914001254408,0.6958435731918506,non-core
