mass_feature,replicate_name,adjusted_area,sample_fraction,z,treatment,sample_set,retention_time,mz,timepoint,experiment_id
Deoxyadenosine,240926_Smp_RC104_HomFate_T48_A_posDDA,63392392,Particulate,1,Homarine,homarine_fate_1,3.821428571428571,252.109665,48,NA
Deoxyadenosine,240926_Smp_RC104_HomFate_T48_B_posDDA,107223280,Particulate,1,Homarine,homarine_fate_1,3.821428571428571,252.109665,48,NA
Deoxyadenosine,240926_Smp_RC104_HomFate_T48_C_posDDA,286240288,Particulate,1,Homarine,homarine_fate_1,3.821428571428571,252.109665,48,NA
Deoxyadenosine,240926_Smp_RC104_HomFate_T96_A_posDDA,52479824,Particulate,1,Homarine,homarine_fate_1,3.821428571428571,252.109665,96,NA
Deoxyadenosine,240926_Smp_RC104_HomFate_T96_B_posDDA,151710304,Particulate,1,Homarine,homarine_fate_1,3.821428571428571,252.109665,96,NA
Deoxyadenosine,240926_Smp_RC104_HomFate_T96_C_posDDA,127509800,Particulate,1,Homarine,homarine_fate_1,3.821428571428571,252.109665,96,NA
Guanosine,240926_Smp_RC104_HomFate_Con_A_posDDA,2801434.7412675135,Particulate,1,Control,homarine_fate_1,9.573829787234043,284.099495,NA,NA
Guanosine,240926_Smp_RC104_HomFate_Con_B_posDDA,2254462.737257274,Particulate,1,Control,homarine_fate_1,9.573829787234043,284.099495,NA,NA
Guanosine,240926_Smp_RC104_HomFate_Con_C_posDDA,1254295.086082665,Particulate,1,Control,homarine_fate_1,9.573829787234043,284.099495,NA,NA
Guanosine,240926_Smp_RC104_HomFate_T0_A_posDDA,738738.7089111267,Particulate,1,Homarine,homarine_fate_1,9.573829787234043,284.099495,0,NA
Guanosine,240926_Smp_RC104_HomFate_T0_B_posDDA,1859563.2631587344,Particulate,1,Homarine,homarine_fate_1,9.573829787234043,284.099495,0,NA
Guanosine,240926_Smp_RC104_HomFate_T0_C_posDDA,1310256.7971445282,Particulate,1,Homarine,homarine_fate_1,9.573829787234043,284.099495,0,NA
Guanosine,240926_Smp_RC104_HomFate_T6_A_posDDA,2606546.805902405,Particulate,1,Homarine,homarine_fate_1,9.573829787234043,284.099495,6,NA
Guanosine,240926_Smp_RC104_HomFate_T6_B_posDDA,737988.7319066369,Particulate,1,Homarine,homarine_fate_1,9.573829787234043,284.099495,6,NA
Guanosine,240926_Smp_RC104_HomFate_T6_C_posDDA,1083700.26752207,Particulate,1,Homarine,homarine_fate_1,9.573829787234043,284.099495,6,NA
Guanosine,240926_Smp_RC104_HomFate_T12_A_posDDA,1460835.258125292,Particulate,1,Homarine,homarine_fate_1,9.573829787234043,284.099495,12,NA
Guanosine,240926_Smp_RC104_HomFate_T12_B_posDDA,1499847.6570836152,Particulate,1,Homarine,homarine_fate_1,9.573829787234043,284.099495,12,NA
Guanosine,240926_Smp_RC104_HomFate_T12_C_posDDA,5002509.26631063,Particulate,1,Homarine,homarine_fate_1,9.573829787234043,284.099495,12,NA
Guanosine,240926_Smp_RC104_HomFate_T24_A_posDDA,4423604.762622863,Particulate,1,Homarine,homarine_fate_1,9.573829787234043,284.099495,24,NA
Guanosine,240926_Smp_RC104_HomFate_T24_B_posDDA,3347356.3324783314,Particulate,1,Homarine,homarine_fate_1,9.573829787234043,284.099495,24,NA
Guanosine,240926_Smp_RC104_HomFate_T24_C_posDDA,29246784.25245206,Particulate,1,Homarine,homarine_fate_1,9.573829787234043,284.099495,24,NA
Guanosine,240926_Smp_RC104_HomFate_T48_A_posDDA,4333355.55632971,Particulate,1,Homarine,homarine_fate_1,9.573829787234043,284.099495,48,NA
Guanosine,240926_Smp_RC104_HomFate_T48_B_posDDA,12447904.7956112,Particulate,1,Homarine,homarine_fate_1,9.573829787234043,284.099495,48,NA
Guanosine,240926_Smp_RC104_HomFate_T48_C_posDDA,9172528.345631478,Particulate,1,Homarine,homarine_fate_1,9.573829787234043,284.099495,48,NA
Guanosine,240926_Smp_RC104_HomFate_T96_A_posDDA,3531177.2605298804,Particulate,1,Homarine,homarine_fate_1,9.573829787234043,284.099495,96,NA
Guanosine,240926_Smp_RC104_HomFate_T96_B_posDDA,10649278.539247513,Particulate,1,Homarine,homarine_fate_1,9.573829787234043,284.099495,96,NA
Guanosine,240926_Smp_RC104_HomFate_T96_C_posDDA,7962932.65744876,Particulate,1,Homarine,homarine_fate_1,9.573829787234043,284.099495,96,NA
Homarine,240926_Smp_RC104_HomFate_Con_A_posDDA,3334265600,Particulate,1,Control,homarine_fate_1,6.143265306122449,138.055503,NA,NA
Homarine,240926_Smp_RC104_HomFate_Con_B_posDDA,3186465280,Particulate,1,Control,homarine_fate_1,6.143265306122449,138.055503,NA,NA
Homarine,240926_Smp_RC104_HomFate_Con_C_posDDA,1925811200,Particulate,1,Control,homarine_fate_1,6.143265306122449,138.055503,NA,NA
Homarine,240926_Smp_RC104_HomFate_T0_A_posDDA,2935372544,Particulate,1,Homarine,homarine_fate_1,6.143265306122449,138.055503,0,NA
Homarine,240926_Smp_RC104_HomFate_T0_B_posDDA,4581720064,Particulate,1,Homarine,homarine_fate_1,6.143265306122449,138.055503,0,NA
Homarine,240926_Smp_RC104_HomFate_T0_C_posDDA,4649757184,Particulate,1,Homarine,homarine_fate_1,6.143265306122449,138.055503,0,NA
Homarine,240926_Smp_RC104_HomFate_T6_A_posDDA,4438765568,Particulate,1,Homarine,homarine_fate_1,6.143265306122449,138.055503,6,NA
Homarine,240926_Smp_RC104_HomFate_T6_B_posDDA,1672967424,Particulate,1,Homarine,homarine_fate_1,6.143265306122449,138.055503,6,NA
Homarine,240926_Smp_RC104_HomFate_T6_C_posDDA,4159005440,Particulate,1,Homarine,homarine_fate_1,6.143265306122449,138.055503,6,NA
Homarine,240926_Smp_RC104_HomFate_T12_A_posDDA,3710355456,Particulate,1,Homarine,homarine_fate_1,6.143265306122449,138.055503,12,NA
Homarine,240926_Smp_RC104_HomFate_T12_B_posDDA,2226615552,Particulate,1,Homarine,homarine_fate_1,6.143265306122449,138.055503,12,NA
Homarine,240926_Smp_RC104_HomFate_T12_C_posDDA,5852463616,Particulate,1,Homarine,homarine_fate_1,6.143265306122449,138.055503,12,NA
Homarine,240926_Smp_RC104_HomFate_T24_A_posDDA,6030387200,Particulate,1,Homarine,homarine_fate_1,6.143265306122449,138.055503,24,NA
Homarine,240926_Smp_RC104_HomFate_T24_B_posDDA,4711577088,Particulate,1,Homarine,homarine_fate_1,6.143265306122449,138.055503,24,NA
Homarine,240926_Smp_RC104_HomFate_T24_C_posDDA,8244518912,Particulate,1,Homarine,homarine_fate_1,6.143265306122449,138.055503,24,NA
Homarine,240926_Smp_RC104_HomFate_T48_A_posDDA,5865862656,Particulate,1,Homarine,homarine_fate_1,6.143265306122449,138.055503,48,NA
Homarine,240926_Smp_RC104_HomFate_T48_B_posDDA,10939744256,Particulate,1,Homarine,homarine_fate_1,6.143265306122449,138.055503,48,NA
Homarine,240926_Smp_RC104_HomFate_T48_C_posDDA,9317761024,Particulate,1,Homarine,homarine_fate_1,6.143265306122449,138.055503,48,NA
Homarine,240926_Smp_RC104_HomFate_T96_A_posDDA,16247639040,Particulate,1,Homarine,homarine_fate_1,6.143265306122449,138.055503,96,NA
Homarine,240926_Smp_RC104_HomFate_T96_B_posDDA,21826738176,Particulate,1,Homarine,homarine_fate_1,6.143265306122449,138.055503,96,NA
Homarine,240926_Smp_RC104_HomFate_T96_C_posDDA,22711207936,Particulate,1,Homarine,homarine_fate_1,6.143265306122449,138.055503,96,NA
L-Arginine,240926_Smp_RC104_HomFate_Con_A_posDDA,31264798,Particulate,1,Control,homarine_fate_1,19.531632653061223,175.119501,NA,NA
L-Arginine,240926_Smp_RC104_HomFate_Con_B_posDDA,22471122,Particulate,1,Control,homarine_fate_1,19.531632653061223,175.119501,NA,NA
L-Arginine,240926_Smp_RC104_HomFate_Con_C_posDDA,14056305,Particulate,1,Control,homarine_fate_1,19.531632653061223,175.119501,NA,NA
L-Arginine,240926_Smp_RC104_HomFate_T0_A_posDDA,21531446,Particulate,1,Homarine,homarine_fate_1,19.531632653061223,175.119501,0,NA
L-Arginine,240926_Smp_RC104_HomFate_T0_B_posDDA,37040824,Particulate,1,Homarine,homarine_fate_1,19.531632653061223,175.119501,0,NA
L-Arginine,240926_Smp_RC104_HomFate_T0_C_posDDA,18408434,Particulate,1,Homarine,homarine_fate_1,19.531632653061223,175.119501,0,NA
L-Arginine,240926_Smp_RC104_HomFate_T6_A_posDDA,49665096,Particulate,1,Homarine,homarine_fate_1,19.531632653061223,175.119501,6,NA
L-Arginine,240926_Smp_RC104_HomFate_T6_B_posDDA,15598582,Particulate,1,Homarine,homarine_fate_1,19.531632653061223,175.119501,6,NA
L-Arginine,240926_Smp_RC104_HomFate_T6_C_posDDA,28618906,Particulate,1,Homarine,homarine_fate_1,19.531632653061223,175.119501,6,NA
L-Arginine,240926_Smp_RC104_HomFate_T12_A_posDDA,36408972,Particulate,1,Homarine,homarine_fate_1,19.531632653061223,175.119501,12,NA
L-Arginine,240926_Smp_RC104_HomFate_T12_B_posDDA,17130984,Particulate,1,Homarine,homarine_fate_1,19.531632653061223,175.119501,12,NA
L-Arginine,240926_Smp_RC104_HomFate_T12_C_posDDA,105804864,Particulate,1,Homarine,homarine_fate_1,19.531632653061223,175.119501,12,NA
L-Arginine,240926_Smp_RC104_HomFate_T24_A_posDDA,44072032,Particulate,1,Homarine,homarine_fate_1,19.531632653061223,175.119501,24,NA
L-Arginine,240926_Smp_RC104_HomFate_T24_B_posDDA,46631720,Particulate,1,Homarine,homarine_fate_1,19.531632653061223,175.119501,24,NA
L-Arginine,240926_Smp_RC104_HomFate_T24_C_posDDA,275810368,Particulate,1,Homarine,homarine_fate_1,19.531632653061223,175.119501,24,NA
L-Arginine,240926_Smp_RC104_HomFate_T48_A_posDDA,44804652,Particulate,1,Homarine,homarine_fate_1,19.531632653061223,175.119501,48,NA
L-Arginine,240926_Smp_RC104_HomFate_T48_B_posDDA,97982080,Particulate,1,Homarine,homarine_fate_1,19.531632653061223,175.119501,48,NA
L-Arginine,240926_Smp_RC104_HomFate_T48_C_posDDA,172885952,Particulate,1,Homarine,homarine_fate_1,19.531632653061223,175.119501,48,NA
L-Arginine,240926_Smp_RC104_HomFate_T96_A_posDDA,97966048,Particulate,1,Homarine,homarine_fate_1,19.531632653061223,175.119501,96,NA
L-Arginine,240926_Smp_RC104_HomFate_T96_B_posDDA,142818224,Particulate,1,Homarine,homarine_fate_1,19.531632653061223,175.119501,96,NA
L-Arginine,240926_Smp_RC104_HomFate_T96_C_posDDA,125349104,Particulate,1,Homarine,homarine_fate_1,19.531632653061223,175.119501,96,NA
L-Asparagine,240926_Smp_RC104_HomFate_Con_A_posDDA,3241724,Particulate,1,Control,homarine_fate_1,11.922857142857143,133.061318,NA,NA
L-Asparagine,240926_Smp_RC104_HomFate_Con_B_posDDA,2920008,Particulate,1,Control,homarine_fate_1,11.922857142857143,133.061318,NA,NA
L-Asparagine,240926_Smp_RC104_HomFate_Con_C_posDDA,2497653,Particulate,1,Control,homarine_fate_1,11.922857142857143,133.061318,NA,NA
L-Asparagine,240926_Smp_RC104_HomFate_T0_A_posDDA,3706032,Particulate,1,Homarine,homarine_fate_1,11.922857142857143,133.061318,0,NA
L-Asparagine,240926_Smp_RC104_HomFate_T0_B_posDDA,4967825,Particulate,1,Homarine,homarine_fate_1,11.922857142857143,133.061318,0,NA
L-Asparagine,240926_Smp_RC104_HomFate_T0_C_posDDA,3412938,Particulate,1,Homarine,homarine_fate_1,11.922857142857143,133.061318,0,NA
L-Asparagine,240926_Smp_RC104_HomFate_T6_A_posDDA,6638667,Particulate,1,Homarine,homarine_fate_1,11.922857142857143,133.061318,6,NA
L-Asparagine,240926_Smp_RC104_HomFate_T6_B_posDDA,4216379,Particulate,1,Homarine,homarine_fate_1,11.922857142857143,133.061318,6,NA
L-Asparagine,240926_Smp_RC104_HomFate_T6_C_posDDA,5751145,Particulate,1,Homarine,homarine_fate_1,11.922857142857143,133.061318,6,NA
L-Asparagine,240926_Smp_RC104_HomFate_T12_A_posDDA,4888445,Particulate,1,Homarine,homarine_fate_1,11.922857142857143,133.061318,12,NA
L-Asparagine,240926_Smp_RC104_HomFate_T12_B_posDDA,2569660,Particulate,1,Homarine,homarine_fate_1,11.922857142857143,133.061318,12,NA
