mass_feature,replicate_name,adjusted_area,sample_fraction,z,sample_set,treatment,RT,mz,dat_type,MS2,add_annotation,pseudo_ID,adduct_group_ID,nm_theroetical,scaled_area,high_homarine_compound,low_homarine_compound,high_homarine_NH4_compound,low_homarine_NH4_compound,high_both_compound,low_both_compounds,row_id
Adenosine triphosphate,211202_Smp_OBi1_7,61438.1908118463,Particulate,-1,OBi1_set2,Glucose + NH4 + Homarine,13.638571428571428,505.987929,targeted,NA,NA,NA,NA,NA,70480.17834535653,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,11
Adenosine triphosphate,211202_Smp_OBi1_8,68543.83365707839,Particulate,-1,OBi1_set2,Glucose + NH4 + Homarine,13.638571428571428,505.987929,targeted,NA,NA,NA,NA,NA,78631.57356667871,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,11
Adenosine triphosphate,211202_Smp_OBi1_9,180211.06411893855,Particulate,-1,OBi1_set2,Glucose + NH4 + Homarine,13.638571428571428,505.987929,targeted,NA,NA,NA,NA,NA,206733.10478504922,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,11
Creatine,211202_Smp_OBi1_1,1557110.385658287,Particulate,1,OBi1_set2,Glucose + NH4,11.293243243243245,132.077302,targeted,NA,NA,NA,NA,NA,1557110.385658287,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,14
Creatine,211202_Smp_OBi1_2,358415.5601116157,Particulate,1,OBi1_set2,Glucose + NH4,11.293243243243245,132.077302,targeted,NA,NA,NA,NA,NA,358415.5601116157,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,14
Creatine,211202_Smp_OBi1_3,NA,Particulate,1,OBi1_set2,Glucose + NH4,11.293243243243245,132.077302,targeted,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,14
Creatine,211202_Smp_OBi1_4,NA,Particulate,1,OBi1_set2,Homarine,11.293243243243245,132.077302,targeted,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,14
Creatine,211202_Smp_OBi1_5,NA,Particulate,1,OBi1_set2,Homarine,11.293243243243245,132.077302,targeted,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,14
Creatine,211202_Smp_OBi1_6,NA,Particulate,1,OBi1_set2,Homarine,11.293243243243245,132.077302,targeted,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,14
Creatine,211202_Smp_OBi1_7,NA,Particulate,1,OBi1_set2,Glucose + NH4 + Homarine,11.293243243243245,132.077302,targeted,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,14
