mass_feature,sample_fraction,med_pvalue_h,med_pvalue_hNH4,med_fc_h,med_fc_hNH4,med_pvalue_cmb,med_qvalue_h,med_qvalue_hNH4,med_qvalue_cmb,z,sample_set,dat_type,RT,mz,MS2,add_annotation,row_id,plot_label
HILICNeg_387,Particulate,0.02232748963793051,0.011300132663452325,Inf,Inf,2.5230359495047186e-4,0.12698759731572978,0.154329781504304,0.004591925428098588,-1,OBi1_set2,nontargeted,4.353,438.80707,NA,[M-H]-,554,"
RT = 4.4
 mz = 438.807-"
HILICNeg_40,Particulate,0.014790190117336826,0.00223171543972433,1469.192509451514,84.04384594543104,3.300749564131879e-5,0.10327030601972022,0.154329781504304,0.0025147578965391145,-1,OBi1_set2,nontargeted,4.281,126.90396,51.23857:7792 52.38636:7333 55.1305:8351 55.91564:7460 59.56837:8770 61.01197:6845 61.63656:7985 68.07795:7170 79.1843:8276 79.75154:9485 82.51614:7363 124.04727:8864 126.9041:11499153,[M-H]-,377,"
RT = 4.3
 mz = 126.904-"
HILICNeg_43,Particulate,0.09775649649926389,0.2947917288765427,2.0620350038511703,0.7948755404588695,0.028817806611931698,0.22794114698343831,0.583886091636921,0.06098652096943685,-1,OBi1_set2,nontargeted,14.448,126.99091,NA,[M-H]-,378,"
RT = 14.4
 mz = 126.991-"
HILICNeg_53,Particulate,0.00320277570292743,0.17443265305340688,0.15739366966996676,0.8731838867507151,5.586686629966217e-4,0.10327030601972022,0.5715321805908565,0.006100297269117027,-1,OBi1_set2,nontargeted,11.538,131.08153,NA,[M-H]-,381,"
RT = 11.5
 mz = 131.082-"
HILICNeg_59,Dissolved,0.10274196193387275,0.09600732569408782,7690.789827391807,59.33902197821164,0.009863981001834894,0.22794114698343831,0.5494720166529548,0.030952492109206045,-1,OBi1_set2,nontargeted,5.667,229.09834,52.01826:7470 63.15297:6693 63.37236:6166 64.7469:6795 65.03845:8794 66.03377:75937 80.0495:34684 84.11975:6927 89.36575:7506 91.02887:8024 91.0539:6858 92.04948:410272 96.12257:8092 103.71175:6784 106.06502:16226 114.11406:7642 116.04514:13581 116.04961:219467 125.35435:7818 129.05753:51514 130.06532:16310 136.0396:50715 142.06544:10432 143.06079:10283 144.08096:15652 153.04726:9238 154.03368:8064 154.06535:23477 155.06058:17411 156.07059:7019 156.08109:13849 159.09203:27696 167.06097:17617 169.07661:49940 170.08424:23645 171.05556:13236 182.6803:7348 183.0925:21058 185.10806:10039 189.16589:6595 195.93103:7475 199.05063:11064 223.32529:18837,[M-H]-,672,"
RT = 5.7
 mz = 229.098-"
HILICNeg_75,Dissolved,0.14019982640669393,0.18707359826901082,Inf,Inf,0.026227686002590914,0.2657955042293572,0.5716489131641864,0.0575113114755608,-1,OBi1_set2,nontargeted,5.56,322.15686,54.14461:6533 58.05043:5825 74.46156:6859 74.95033:7157 80.04958:9122 86.37458:6994 92.04955:65767 119.236:8252 122.02376:90357 154.36685:6636 167.06091:22288 169.07631:14842 185.4072:6651 216.39937:92627 216.41014:18002 241.95728:7451 283.99942:7424,[M-H]-,683,"
RT = 5.6
 mz = 322.157-"
HILICNeg_90,Particulate,0.13558597496435784,0.12826499730222984,0.4506387467961641,1.4029626831597761,0.01739093471302356,0.2634614110803832,0.5715321805908565,0.046794127346522836,-1,OBi1_set2,nontargeted,11.034,148.99005,NA,[M-H]-,395,"
RT = 11
 mz = 148.99-"
HILICPos_107,Dissolved,0.510972075479941,0.6239286930366782,4.191322445413584,0.6763128395657789,0.31881013923243845,0.5636176832566622,0.6719232078856534,0.3300113273133517,1,OBi1_set2,nontargeted,11.498,346.00983,NA,[M+H],642,"
RT = 11.5
 mz = 346.01+"
HILICPos_109,Particulate,0.13628832968447785,0.47229014695625754,2.0521982622900183,0.7702484192697674,0.06436763525510492,0.2634614110803832,0.583886091636921,0.10099060014163012,1,OBi1_set2,nontargeted,10.694,145.04965,NA,[M+H],150,"
RT = 10.7
 mz = 145.05+"
HILICPos_123,Particulate,0.11058859005146571,0.7368828922111575,0.5852449744865424,0.9004035760031572,0.0814908400826781,0.2357375643988192,0.7560709420547491,0.11865066316037931,1,OBi1_set2,nontargeted,10.854,151.04782,NA,[M+H],160,"
RT = 10.9
 mz = 151.048+"
HILICPos_131,Particulate,0.1862464824205614,0.15240694550790557,1.346677662680019,0.7999290686500269,0.028385257497309593,0.3026505339334123,0.5715321805908565,0.0607778454648276,1,OBi1_set2,nontargeted,8.251,157.09724,50.69287:6997 54.94466:6414 55.32527:6173 56.4342:6670 57.01014:7866 57.85853:6948 60.59503:6005 60.92301:6818 64.11874:6493 70.0658:8571 75.18207:7234 77.43037:7377 80.8493:6182 96.08117:10769 99.2421:7512 101.07141:58777 104.53833:8142 104.68991:9904 111.09207:203469 113.10767:154945 115.96449:20251 125.05606:7219 157.09731:1507054,[M+H],166,"
RT = 8.3
 mz = 157.097+"
