mass_feature,core_metab,sample_fraction,enrich_hNH4_fc,enrich_h_fc,ttest_p_h,p_value_mannwhitney_h,ttest_p_hNH4,p_value_mannwhitney_hNH4
Adenine,L-Proline,Particulate,0.8548770691565687,3.132006034923235,0.23044016836843542,0.7,0.6195578858603887,1
Adenine,L-Serine,Particulate,1.0978672549850554,2.4695380136188163,0.25981345773569237,0.7,0.7779901015646473,0.7
Adenine,L-Tyrosine,Particulate,0.793194582999468,0.9782631948812524,0.9586917726651193,0.7,0.46537818734378833,0.7
Adenosine,Adenine,Particulate,1.0792383124415919,0.9065158979892978,0.8724692683260109,0.7,0.854728461418679,0.7
Adenosine,Adenosine monophosphate,Particulate,0.5551924012495386,15.481814344550981,0.44558719437761096,0.7,0.49534202256794374,0.4
Adenosine,Citrulline,Particulate,1.068718367034582,10.398421421407335,0.12833563562793926,0.1,0.7592135902115151,1
Adenosine,Cytosine,Particulate,0.7400183538180992,0.7318969086596712,0.37457812029612975,0.7,0.3260700359660224,0.4
Adenosine,Deoxyadenosine,Particulate,0.820795903316893,0.8900857276356816,0.40361461250662745,0.7,0.16055365637449337,0.2
Adenosine,Guanosine,Particulate,0.9336869174014533,0.9480641598738454,0.6153002307383584,0.7,0.5401919424247728,0.7
Adenosine,L-Arginine,Particulate,0.8788768171175417,1.5821863964790583,0.24601748366004508,0.2,0.45871550236810316,0.7
Adenosine,L-Glutamic acid,Particulate,0.20494675122584838,0.3803887220402513,0.02357252186345197,0.1,0.017539588595868922,0.1
Adenosine,L-Homoserine,Particulate,0.19635146516232135,0.2565866780291616,0.03560243694775278,0.1,0.03364958159638713,0.1
Adenosine,L-Lysine,Particulate,0.8992117072453366,0.8339797343981841,0.351015896911355,0.7,0.5011867557045564,1
Adenosine,L-Proline,Particulate,0.7575654147244166,1.5770770952390634,0.29146209736062023,0.2,0.13415299662542515,0.2
Adenosine,L-Serine,Particulate,0.9884713851810678,1.2998161848253995,0.44350342561806533,0.7,0.9189364352753696,0.7
Adenosine,L-Tyrosine,Particulate,0.6903661577026728,0.5063734218585605,0.04673986535133126,0.1,0.13923385565718127,0.2
Adenosine diphosphate,Adenine,Particulate,3.071889953255672,2.780919272666405,0.4830969739110762,1,0.4298039090617753,1
Adenosine diphosphate,Adenosine,Particulate,2.1038559436516446,3.0911744000996295,0.35048000752332337,0.7,0.3574878653670375,0.4
Adenosine diphosphate,Adenosine monophosphate,Particulate,0.7083979418749895,0.8600851967476351,0.5051995396345866,0.4,0.3175563848805068,0.4
Adenosine diphosphate,Citrulline,Particulate,2.33711522277253,22.589075660078173,0.20231421196272953,0.7,0.31470842065032284,0.2
Adenosine diphosphate,Cytosine,Particulate,1.6883414403373913,1.9862283872668574,0.4335062063700185,0.7,0.41108437202629,0.7
Adenosine diphosphate,Deoxyadenosine,Particulate,1.8030831776961473,2.822440594412976,0.3331322445194882,0.7,0.43697376457120024,1
Adenosine diphosphate,Guanosine,Particulate,2.0795373802597865,3.2356921612749616,0.3623058870821802,0.7,0.4192032967451869,1
Adenosine diphosphate,L-Arginine,Particulate,1.8857469769096158,4.062797359849975,0.2868702672186026,0.7,0.39410035919484293,1
Adenosine diphosphate,L-Glutamic acid,Particulate,0.4437066506789311,1.160874492199925,0.8292398878596583,1,0.2686768572952979,0.4
Adenosine diphosphate,L-Homoserine,Particulate,0.4389868959389659,0.7502469798749228,0.6515894299310951,1,0.23224017082867965,0.4
Adenosine diphosphate,L-Lysine,Particulate,1.8962403403413532,2.2847970775272692,0.40911371264946494,0.7,0.4065351314498826,0.4
