mass_feature,sample_fraction,experiment_id,timepoint,med_pvalue_h,med_fc_h,med_qvalue_h,core_metabolite
unknown_C6H9NO3_2_neg,Particulate,NA,6,0.18485978591307184,259.29305031573944,0.4275431362295414,non-core
unknown_C6H9NO3_2_neg,Particulate,NA,12,0.6200341114420614,0.6900202200744642,0.6727722906960734,non-core
unknown_C6H9NO3_2_neg,Particulate,NA,24,0.2677301264532497,2.0997873343665336,0.4486288605432832,non-core
unknown_C6H9NO3_2_neg,Particulate,NA,48,0.026107127903963828,4.95683493799543,0.2909263140789584,non-core
unknown_C6H9NO3_2_neg,Particulate,NA,96,0.21246765000021192,2.195349159370365,0.4342745373630705,non-core
unknown_C6H9NO3_2_neg_13C_15N,Particulate,NA,0,0.4554188772731074,2.555548497111232,0.5500513712519349,non-core
unknown_C6H9NO3_2_neg_13C_15N,Particulate,NA,6,0.18572537646948512,11819.120893215159,0.4275431362295414,non-core
unknown_C6H9NO3_2_neg_13C_15N,Particulate,NA,12,0.07657890762378342,553.3876270773521,0.29674326704216075,non-core
unknown_C6H9NO3_2_neg_13C_15N,Particulate,NA,24,0.06056626617103344,1112.1959109333802,0.2909263140789584,non-core
unknown_C6H9NO3_2_neg_13C_15N,Particulate,NA,48,0.018375386925623117,794.9054732266634,0.2909263140789584,non-core
unknown_C6H9NO3_2_neg_13C_15N,Particulate,NA,96,0.05076856937076421,0.31600079854357666,0.2909263140789584,non-core
unknown_C6H9NO4_neg,Particulate,NA,0,0.4344146362304081,0.04766413617738833,0.5386741489257061,non-core
unknown_C6H9NO4_neg,Particulate,NA,6,0.28504170032038795,3.695494817933008,0.45492134683672153,non-core
unknown_C6H9NO4_neg,Particulate,NA,12,0.5701608091181346,0.32776334277176095,0.6427267302786244,non-core
unknown_C6H9NO4_neg,Particulate,NA,24,0.42221965453469057,0.01704700047363758,0.5316789731759931,non-core
unknown_C6H9NO4_neg,Particulate,NA,48,0.6221335161275517,0.4116338628085426,0.6727722906960734,non-core
unknown_C6H9NO4_neg,Particulate,NA,96,0.41787686466412716,0.00589380522849413,0.5316789731759931,non-core
unknown_C6H9NO4_pos,Particulate,NA,0,0.8202472188047232,0.9843545892288565,0.829162949443905,non-core
unknown_C6H9NO4_pos,Particulate,NA,6,0.6063361193213219,0.9449291368356552,0.6673285100222833,non-core
unknown_C6H9NO4_pos,Particulate,NA,12,0.6521958854413797,0.8929629627804482,0.6892524698414582,non-core
unknown_C6H9NO4_pos,Particulate,NA,24,0.8260852077386427,1.0356409279299539,0.8305505331858786,non-core
unknown_C6H9NO4_pos,Particulate,NA,48,0.8005926764230955,1.0551581839200783,0.8181881198609656,non-core
unknown_C6H9NO4_pos,Particulate,NA,96,0.2757426614498802,0.21200653543451725,0.4538773011475904,non-core
unknown_C6H9NO4_pos_early,Particulate,NA,0,0.6017293573587987,0.8411265436068034,0.6662003599329558,non-core
unknown_C6H9NO4_pos_early,Particulate,NA,6,0.07459596695755981,0.12416675664296076,0.2952095713639601,non-core
unknown_C6H9NO4_pos_early,Particulate,NA,12,0.20618043806947797,0.42077687880272807,0.4342745373630705,non-core
unknown_C6H9NO4_pos_early,Particulate,NA,24,0.6831290875634852,1.0361297346865497,0.713831518465215,non-core
unknown_C6H9NO4_pos_early,Particulate,NA,48,0.3345877738951778,1.3741276966332627,0.4978666075560246,non-core
unknown_C6H9NO4_pos_early,Particulate,NA,96,0.17698733627342622,2.062078877488892,0.4275431362295414,non-core
unknown_C7H11NO3_pos,Particulate,NA,0,0.26503938178426073,0.9542361087640012,0.4486288605432832,non-core
unknown_C7H11NO3_pos,Particulate,NA,6,0.05627697349365325,0.5109028960554436,0.2909263140789584,non-core
unknown_C7H11NO3_pos,Particulate,NA,12,0.04233555686707968,0.4054094560618354,0.2909263140789584,non-core
unknown_C7H11NO3_pos,Particulate,NA,24,0.001019325329535579,0.09569026551616427,0.11603492741897425,non-core
unknown_C7H11NO3_pos,Particulate,NA,48,0.0016553798234627314,0.03141426721940303,0.11603492741897425,non-core
unknown_C7H11NO3_pos,Particulate,NA,96,0.0018715310874028105,0.07170969833121607,0.11603492741897425,non-core
unknown_C7H9NO5_pos_13C_15N,Particulate,NA,0,0.42305638725831707,0.03697480544027276,0.5316789731759931,non-core
unknown_C7H9NO5_pos_13C_15N,Particulate,NA,6,0.5283508023467651,4.193554789410747,0.6142078077281145,non-core
unknown_C7H9NO5_pos_13C_15N,Particulate,NA,12,0.5857255564383259,2.8783329043012014,0.6562949005875218,non-core
unknown_C7H9NO5_pos_13C_15N,Particulate,NA,24,0.7229625781701117,0.6167979930700176,0.7512348577633562,non-core
unknown_C7H9NO5_pos_13C_15N,Particulate,NA,48,0.6456318924341637,0.4564803234016742,0.6862144685300255,non-core
unknown_C7H9NO5_pos_13C_15N,Particulate,NA,96,0.4112562257506137,0.009800729152825824,0.5316789731759931,non-core
